Novel_Name,Series_Name,Author_Name,Genre,Average_Rating,No_of_Ratings,No_of_Reviews,No_of_Votes,Publish_Date,Publish_year
Subterranean,-,James Rollins ,Action-Adventure,4.02,26238,946,24,1999-01-06,1999
Word of Honor,-,Nelson DeMille ,Action-Adventure,4.22,11702,455,7,1985-01-11,1985
The Last Run ,Peter Black,David Archer,Action-Adventure,4.34,1125,18,63,2023-10-24,2023
Watership Down ,Watership Down,Richard  Adams,Action-Adventure,4.08,476357,17111,3,1972-01-11,1972
Amie: CUT FOR LIFE ,Amie in Africa Book,Lucinda E. Clarke ,Action-Adventure,4.78,45,25,4,2017-09-30,2017
From Russia With Love ,James Bond,Ian Fleming,Action-Adventure,3.9,35313,1584,13,1957-01-01,1957
One Flew Over the Cuckoo's Nest,-,Ken Kesey,Action-Adventure,4.2,724343,15510,24,1962-01-01,1962
The Woods,-,Harlan Coben ,Action-Adventure,4.05,98460,5811,2,2007-01-01,2007
The Gunslinger ,The Dark Tower,Stephen King ,Action-Adventure,3.93,601784,24261,7,1982-01-06,1982
Ice Station Zebra,-,Alistair MacLean,Action-Adventure,4.01,18990,412,13,1963-01-04,1963
The Municipalists,-,Seth Fried,Action-Adventure,3.6,2889,467,2,2019-03-19,2019
The Ruins of Gorlan ,Ranger's Apprentice,John Flanagan,Action-Adventure,4.25,156202,10015,3,2004-01-11,2004
Dark Rooms,-,Lili Anolik ,Action-Adventure,3.11,3256,377,2,2015-01-03,2015
Cold Mountain,-,Charles Frazier,Action-Adventure,3.88,241363,6471,5,1997-01-01,1997
Savage Grounds ,Dalton Savage,L.T. Ryan ,Action-Adventure,4.29,4888,114,61,2022-08-11,2022
Aldaraia,-,Clinchandhill ,Action-Adventure,4.6,55,2,2,2019-01-19,2019
Centennial,-,James A. Michener,Action-Adventure,4.25,42918,1047,12,1974-01-01,1974
The Bear and the Dragon  ,"John Clark, #3; Jack Ryan Universe",Tom Clancy,Action-Adventure,3.89,29344,660,8,2000-08-21,2000
The Eight ,The Eight,Katherine Neville,Action-Adventure,3.92,42502,3099,2,1988-12-27,1988
The Maze Runner ,The Maze Runner,James Dashner ,Action-Adventure,4.05,1489003,64352,62,2009-06-10,2009
Starship Troopers,-,Robert A. Heinlein,Action-Adventure,4.01,225021,7208,24,1959-01-12,1959
Deadly Diamond: A Diamond to Die For,-,Rob W. Davis ,Action-Adventure,4.75,8,0,2,2018-11-26,2018
Modesty Blaise ,Modesty Blaise,Peter O'Donnell,Action-Adventure,3.99,1454,193,3,1965-01-01,1965
The Club Dumas,-,Arturo Pérez-Reverte,Action-Adventure,3.81,40990,2434,4,1993-01-01,1993
The Aeneid,-,Virgil,Action-Adventure,3.86,128134,4154,2,2020-01-01,2020
The Alaska Job ,Case Lee,Vince Milam ,Action-Adventure,4.47,1414,51,59,2023-05-30,2023
Animal Farm,-,George Orwell,Action-Adventure,3.98,3786634,92221,7,1945-08-17,1945
The Travelers Within: Into The Unknown,-,Daniel Mode ,Action-Adventure,4.05,93,22,10,2020-06-07,2020
Dark State ,Jason Trapp,Jack     Slater ,Action-Adventure,4.43,10316,467,59,2021-12-15,2021
A Very Important Teapot,-,Steve  Sheppard ,Action-Adventure,4.37,63,37,2,2019-10-18,2019
The Locked Door,-,Freida McFadden ,Action-Adventure,4.12,183840,12659,22,2021-01-06,2021
Ready Player One ,Ready Player One,Ernest Cline ,Action-Adventure,4.23,1142510,101132,60,2011-08-16,2011
The Last Olympian ,Percy Jackson and the Olympians,Rick Riordan ,Action-Adventure,4.54,960170,38082,8,2009-05-05,2009
Heat Lightning ,Virgil Flowers,John Sandford,Action-Adventure,4.16,28650,1117,5,2008-09-23,2008
The Ice Limit - La barrière de glace ,Ice Limit,Douglas Preston ,Action-Adventure,4.0,21383,905,11,2000-07-18,2000
The Left Hand of God ,The Left Hand of God,Paul  Hoffman,Action-Adventure,3.65,18277,1366,2,2010-07-01,2010
"Moral Compass: To Be, or Not to Be",-,Bryant Johnson,Action-Adventure,4.36,72,15,2,2019-02-11,2019
Seasonable Doubt,-,Robin      James ,Action-Adventure,4.39,1119,28,56,2023-11-20,2023
Last Sacrifice ,Vampire Academy,Richelle Mead ,Action-Adventure,4.37,285104,12525,3,2010-07-12,2010
Amie: An African Adventure,-,Lucinda E. Clarke ,Action-Adventure,4.06,374,99,4,2014-07-17,2014
Black Wind ,Dirk Pitt,Clive Cussler,Action-Adventure,3.91,14138,506,9,2004-11-30,2004
Braziliada: A journey of discovery and adventure,-,Sheridan West ,Action-Adventure,3.62,13,14,2,2020-08-23,2020
Rainbow Six ,"John Clark, #2; Jack Ryan Universe",Tom Clancy,Action-Adventure,4.12,53894,1389,14,1998-03-08,1998
Dracula,-,Bram Stoker,Action-Adventure,4.01,1247365,44469,3,1897-05-26,1897
The Stand,-,Stephen King ,Action-Adventure,4.35,748596,28769,5,1978-01-01,1978
Napoleon's Pyramids ,Ethan Gage,William  Dietrich ,Action-Adventure,3.54,4405,480,3,2007-01-01,2007
The Southern Lawyer ,Joe Hennessy Legal Thriller,Peter O'Mahoney ,Action-Adventure,4.23,15089,240,56,2022-02-28,2022
Consent to Kill ,Mitch Rapp,Vince Flynn,Action-Adventure,4.39,48924,1263,8,2005-11-10,2005
CRIES FROM THE DEEP,-,Anthony Hulse ,Action-Adventure,4.57,97,2,2,2013-08-13,2013
Trojan Odyssey ,Dirk Pitt,Clive Cussler,Action-Adventure,3.96,18796,495,23,2003-11-24,2003
Indigo Lost,-,Aleksandar Gutovic ,Action-Adventure,4.14,7,0,2,2020-11-23,2020
My Side of the Mountain ,Mountain,Jean Craighead George,Action-Adventure,4.09,76180,4357,3,1959-01-01,1959
Red Dragon ,Hannibal Lecter,Thomas  Harris,Action-Adventure,4.06,328065,7427,12,1981-01-10,1981
Dr. Jekyll and Mr. Hyde,-,Robert Louis Stevenson,Action-Adventure,3.83,563690,22023,7,1886-05-01,1886
I Am Legend and Other Stories,-,Richard Matheson,Action-Adventure,4.0,130492,5661,5,1954-01-01,1954
Legacy ,Event Group Thriller,David L. Golemon,Action-Adventure,4.21,1382,69,2,2011-08-16,2011
Eyes ,Half-Alive,Nghịch Tử ,Action-Adventure,4.38,48,19,2,2021-12-05,2021
Timeline,-,Michael Crichton,Action-Adventure,3.86,205190,5681,4,1999-11-16,1999
Night Owl ,Trasker,Andrew Mayne ,Action-Adventure,4.19,6640,291,56,2023-10-17,2023
The Maltese Falcon,-,Dashiell Hammett,Action-Adventure,3.88,105540,6388,25,1930-01-01,1930
An Invisible Client,-,Victor Methos ,Action-Adventure,4.41,15077,822,10,2016-01-26,2016
A Falcon Flies ,The Ballantyne Novels,Wilbur Smith,Action-Adventure,4.08,6010,176,7,1980-01-01,1980
Force Of Nature ,Joe Pickett,C.J. Box,Action-Adventure,4.35,17850,1108,3,2012-03-20,2012
Into the Darkest Corner,-,Elizabeth Haynes ,Action-Adventure,4.07,69239,6294,4,2007-02-13,2007
Burning Evidence: A Legal Thriller filled with Gripping Courtroom Drama ,Small Town Lawyer Book,Peter Kirkland,Action-Adventure,4.27,695,24,55,2023-10-26,2023
Iron House,-,John Hart ,Action-Adventure,4.08,16935,1995,3,2012-01-25,2012
The Return of the Native,-,Thomas Hardy,Action-Adventure,3.87,38177,1974,3,1878-01-01,1878
City of Dreams,-,Don Winslow ,Action-Adventure,4.07,8588,768,10,2023-04-18,2023
The Institute,-,Stephen King ,Action-Adventure,4.2,259939,25715,2,2019-10-09,2019
Thunderhead ,Nora Kelly,Douglas Preston ,Action-Adventure,4.12,29845,1117,22,1999-01-01,1999
The Namatjira Connection ,Genevieve Lenard,Estelle Ryan ,Action-Adventure,4.29,612,33,55,2023-11-28,2023
The Covenant,-,James A. Michener,Action-Adventure,4.21,20976,555,6,1980-01-01,1980
Executive Power ,Mitch Rapp,Vince Flynn,Action-Adventure,4.32,45410,1037,8,2003-06-05,2003
The Long Ships,-,Frans G. Bengtsson,Action-Adventure,4.26,10738,1109,2,1954-01-01,1954
Debt of Honor ,Jack Ryan,Tom Clancy,Action-Adventure,4.09,48512,747,13,1994-08-17,1994
The Survival Rule ,"A Rain City Legal Thriller, Book",Stephen Penner ,Action-Adventure,4.19,836,15,54,2023-11-29,2023
Esther's Sling,-,Ben Brunson ,Action-Adventure,4.44,27,5,10,2013-01-05,2013
Twenty Years Later,-,Charlie Donlea ,Action-Adventure,4.24,82727,5661,21,2021-12-28,2021
Rough Country ,Virgil Flowers,John Sandford,Action-Adventure,4.2,24799,1169,4,2009-09-29,2009
Amie   Stolen Future,-,Lucinda E. Clarke ,Action-Adventure,4.71,66,33,4,2016-10-24,2016
Mammoth,-,Brian  McBride ,Action-Adventure,4.2,171,94,2,2022-06-05,2022
The Cabinet of Curiosities ,"Pendergast, #3; Nora Kelly",Douglas Preston ,Action-Adventure,4.26,50428,2769,6,2002-03-06,2002
One Last Kill ,Tracy Crosswhite,Robert Dugoni ,Action-Adventure,4.5,12752,712,21,2023-03-10,2023
The Moon Maid,-,Edgar Rice Burroughs,Action-Adventure,3.67,848,73,2,1923-01-01,1923
Executive Orders ,Jack Ryan,Tom Clancy,Action-Adventure,4.1,50257,799,56,1996-12-08,1996
Imperium ,Cicero,Robert   Harris ,Action-Adventure,4.12,34080,2315,4,2006-09-19,2006
The Dog Stars,-,Peter Heller,Action-Adventure,3.95,63477,8196,4,2012-07-08,2012
Apostle of the Tyrants,-,Anthony Hulse ,Action-Adventure,4.42,104,16,10,2014-01-05,2014
Finding Fabi,-,Geoffrey Robert ,Action-Adventure,5.0,3,1,2,2023-05-19,2023
The Hitchhiker's Guide to the Galaxy ,Hitchhiker's Guide to the Galaxy,Douglas Adams,Action-Adventure,4.23,1810003,43910,7,1979-12-10,1979
The Zombie Room,-,R.D. Ronald,Action-Adventure,3.75,28339,397,22,2012-07-26,2012
Storm Prey ,Lucas Davenport,John Sandford,Action-Adventure,4.19,22250,1056,5,2010-05-18,2010
Out of Bounds ,Inspector Karen Pirie,Val McDermid,Action-Adventure,4.15,9939,807,10,2016-06-12,2016
Harry Potter and the Deathly Hallows ,Harry Potter,J.K. Rowling,Action-Adventure,4.62,3631123,83418,58,2007-07-21,2007
Rock Dance,-,Jack Ballard Jr.,Action-Adventure,3.4,5,3,2,2008-10-29,2008
Crown of Midnight ,Throne of Glass,Sarah J. Maas ,Action-Adventure,4.35,853701,61839,3,2013-08-15,2013
Inside Out ,Insider,Maria V. Snyder ,Action-Adventure,3.82,24354,1932,3,2010-01-01,2010
Progeny,-,Patrick C. Greene ,Action-Adventure,3.72,395,66,5,2012-01-01,2012
Watchers,-,Dean Koontz ,Action-Adventure,4.18,163453,4954,4,1987-01-01,1987
Will ,Sacrifice,A.C. Heller ,Action-Adventure,4.22,18,4,2,2014-03-31,2014
Black Fire,-,William Kely McClung ,Action-Adventure,4.3,5910,34,52,2023-02-25,2023
Deep Six ,Dirk Pitt,Clive Cussler,Action-Adventure,3.91,17471,390,23,1984-01-01,1984
Vigilante ,Vigilante,Claude Bouchard ,Action-Adventure,3.83,1497,197,2,2009-01-01,2009
The Dead Zone,-,Stephen King ,Action-Adventure,3.96,220185,6462,3,1979-08-30,1979
Night Fall ,John Corey,Nelson DeMille ,Action-Adventure,4.12,33287,1666,12,2004-01-11,2004
The Magician's Nephew ,Chronicles of Narnia,C.S. Lewis,Action-Adventure,4.05,530488,20105,23,1955-02-05,1955
Gorky Park ,Arkady Renko,Martin Cruz Smith,Action-Adventure,4.04,67592,1429,5,1981-01-01,1981
The Fear and the Solace ,The Kyrennei,Arie Farnam ,Action-Adventure,4.5,28,7,2,2014-08-10,2014
The Asset ,Lance Spector,Saul Herzog ,Action-Adventure,4.29,9536,328,50,2020-10-04,2020
No Country for Old Men,-,Cormac McCarthy,Action-Adventure,4.15,194238,11426,4,2005-07-19,2005
Airframe,-,Michael Crichton,Action-Adventure,3.73,83612,2459,7,1996-02-01,1996
By the Rivers of Babylon,-,Nelson DeMille ,Action-Adventure,3.93,8084,342,6,1978-07-07,1978
One Lost Soul ,Hidden Norfolk,J.M. Dalgliesh ,Action-Adventure,4.07,17672,475,10,2019-05-10,2019
The Soft Machine ,The Nova Trilogy,William S. Burroughs,Action-Adventure,3.43,6468,392,2,1961-01-01,1961
The Marlowe Conspiracy,-,M.G. Scarsbrook ,Action-Adventure,3.32,184,20,3,2010-10-18,2010
The Soul and the Seed ,The Kyrennei,Arie Farnam ,Action-Adventure,4.12,66,23,2,2014-08-13,2014
Treasure of Khan ,Dirk Pitt,Clive Cussler,Action-Adventure,3.95,14667,504,22,2006-11-28,2006
Red Storm Rising,-,Tom Clancy,Action-Adventure,4.2,79299,1411,54,1986-08-28,1986
Cryptonomicon,-,Neal Stephenson ,Action-Adventure,4.24,111513,5980,2,1999-01-05,1999
Poet Anderson ...of Nightmares,-,Tom DeLonge ,Action-Adventure,4.04,1172,205,5,2015-06-10,2015
Planet of the Apes,-,Pierre Boulle,Action-Adventure,3.98,41195,2338,4,1963-01-01,1963
Journey to the Center of the Earth,-,Jules Verne,Action-Adventure,3.85,196382,8317,25,1864-11-25,1864
The Alexandria Link ,Cotton Malone,Steve Berry ,Action-Adventure,3.94,41742,1451,4,2007-01-30,2007
The General's Daughter,-,Nelson DeMille ,Action-Adventure,4.1,63858,872,11,1992-11-16,1992
Pirates: The Midnight Passage,-,James R. Hannibal ,Action-Adventure,4.29,24,9,2,2010-11-05,2010
Sahara ,Dirk Pitt,Clive Cussler,Action-Adventure,3.98,58791,1075,52,1992-01-06,1992
Music City Macabre ,The Low Lying Lands,Bob  Williams ,Action-Adventure,4.13,52,22,5,2015-04-12,2015
Jackdaws,-,Ken Follett ,Action-Adventure,4.05,37897,1766,12,2001-03-12,2001
Without Remorse ,"John Clark, #1; Jack Ryan Universe Publication Order",Tom Clancy,Action-Adventure,4.21,70755,1771,24,1993-11-08,1993
Angels & Demons ,Robert Langdon,Dan Brown ,Action-Adventure,3.94,3157708,33480,53,2000-01-05,2000
58 Minutes ,Die Hard,Walter Wager,Action-Adventure,3.55,411,49,4,1987-12-31,1987
Scorpia ,Alex Rider,Anthony Horowitz ,Action-Adventure,4.18,58357,1572,2,2004-01-04,2004
Mortal Showdown ,Oligarch,Nik Krasno ,Action-Adventure,3.94,47,28,2,2015-01-06,2015
Defender of the Realm ,Defender of England,Corey Holst ,Action-Adventure,3.95,62,20,5,2009-04-05,2009
Brand of the Werewolf ,Doc Savage,Kenneth Robeson ,Action-Adventure,3.6,339,43,4,1934-01-01,1934
Excavation,-,James Rollins ,Action-Adventure,4.05,19995,764,4,2000-03-07,2000
Death Leaves a Shadow ,Marlowe Black Mystery,Gabriel F.W. Koch ,Action-Adventure,4.3,16399,40,20,2020-09-06,2020
Only Time Will Tell ,The Clifton Chronicles,Jeffrey Archer ,Action-Adventure,4.1,89014,6350,12,2011-12-05,2011
Gravity Games,-,John Matsui ,Action-Adventure,4.26,31,18,2,2015-10-24,2015
The Nowhere Man ,Orphan X,Gregg Andrew Hurwitz ,Action-Adventure,4.14,25834,2206,49,2017-01-17,2017
The Undead Pool ,The Hollows,Kim Harrison ,Action-Adventure,4.44,28596,1880,3,2014-02-25,2014
Invisible Prey ,Lucas Davenport,John Sandford,Action-Adventure,4.17,19608,766,4,2007-05-15,2007
The Athena Project,-,Brad Thor ,Action-Adventure,3.87,12567,788,7,2010-11-23,2010
The Magus Covenant ,The Jotham Fletcher Mystery Thriller Series,Toni Pike ,Action-Adventure,3.73,73,18,2,2015-03-12,2015
The 5 Greatest Warriors ,Jack West Jr,Matthew Reilly,Action-Adventure,4.27,17437,561,10,2009-01-11,2009
The Last Battle ,Chronicles of Narnia,C.S. Lewis,Action-Adventure,4.01,271486,9924,3,1956-04-09,1956
The Rime of the Ancient Mariner,-,Samuel Taylor Coleridge,Action-Adventure,3.96,58453,1473,5,1792-01-01,1792
Night Probe! ,Dirk Pitt,Clive Cussler,Action-Adventure,3.91,14655,369,23,1981-01-01,1981
"‘Til the End: A Novel of Murder, Addiction, and Lies",-,Joseph Patrick33,Action-Adventure,4.0,18,8,2,2016-03-04,2016
The Winter Sea ,Slains,Susanna Kearsley ,Action-Adventure,4.1,65603,7290,7,2008-09-22,2008
Jaws ,Jaws,Peter Benchley,Action-Adventure,3.96,161054,5830,52,1974-06-05,1974
Dark Places,-,Gillian Flynn ,Action-Adventure,3.95,736023,43098,10,2009-01-01,2009
Tree of Smoke,-,Denis Johnson,Action-Adventure,3.6,13568,1446,3,2004-04-09,2004
Society for Supper,-,TyCobbsTeeth ,Action-Adventure,4.58,53,20,5,2015-02-19,2015
Bad Little Falls ,Mike Bowditch,Paul Doiron ,Action-Adventure,3.91,5582,457,2,2012-07-08,2012
Beneath the Dark Ice ,Alex Hunter,Greig Beck ,Action-Adventure,3.9,5453,457,4,2009-01-01,2009
The Coworker,-,Freida McFadden ,Action-Adventure,3.84,118423,9845,20,2023-08-29,2023
The Serpent's Fang ,The Treasure Huntress,Ryan Mullaney ,Action-Adventure,3.83,125,13,2,2017-11-27,2017
Queer,-,William S. Burroughs,Action-Adventure,3.6,13464,750,3,1985-01-11,1985
Raise the Titanic! ,Dirk Pitt,Clive Cussler,Action-Adventure,3.99,28017,995,50,1976-01-01,1976
The Girl on the Train,-,Paula Hawkins ,Action-Adventure,3.96,2876849,125237,11,2015-01-13,2015
The Martian,-,Andy Weir ,Action-Adventure,4.41,1095437,85840,24,2011-09-27,2011
Her Innocent Marine,-,Arthur Archambeau,Action-Adventure,4.05,20,8,2,2018-09-11,2018
The Templar Legacy ,Cotton Malone,Steve Berry ,Action-Adventure,3.84,52910,2508,3,2006-02-21,2006
The Sacred Well Murders,-,Susan  Rowland ,Action-Adventure,4.31,6267,25,5,2022-01-02,2022
The Spy Coast ,The Martini Club,Tess Gerritsen ,Action-Adventure,4.4,38157,2046,19,2023-01-11,2023
Monsoon ,"Courtney publication, #10; Courtney chronological",Wilbur Smith,Action-Adventure,4.32,12335,318,3,1999-01-01,1999
Scavenger Hunt,-,Chad Boudreaux ,Action-Adventure,4.31,6185,37,48,2023-01-31,2023
Angelfall ,Penryn & the End of Days,Susan Ee ,Action-Adventure,4.11,190228,17404,5,2011-05-21,2011
The Crucible of Steele ,Georgia Steele Thrillers,L.M.   Whitaker ,Action-Adventure,4.15,95,15,2,2020-06-29,2020
Path of the Assassin ,Scot Harvath,Brad Thor ,Action-Adventure,4.18,25918,865,8,2003-07-01,2003
The Chimera Vector ,The Fifth Column,Nathan M. Farrugia,Action-Adventure,3.69,2268,762,2,2012-01-05,2012
The Wife in the Photo,-,Emily Shiner ,Action-Adventure,3.77,2536,449,19,2023-07-09,2023
Royal Flash ,The Flashman Papers,George MacDonald Fraser,Action-Adventure,4.13,7488,339,3,1970-01-01,1970
Monster Hunter International ,Monster Hunter International,Larry Correia,Action-Adventure,4.06,28551,2476,10,2009-01-01,2009
Our Lit: A far future science fiction novel.,-,LI Tchaikov ,Action-Adventure,4.2,10,3,2,2021-04-25,2021
Odd Thomas ,Odd Thomas,Dean Koontz ,Action-Adventure,3.98,267466,8355,48,2004-01-01,2004
The Most Dangerous Game,-,Richard Connell,Action-Adventure,3.94,53357,2331,8,1924-01-19,1924
The Enemy ,"Jack Reacher, #8; Chron",Lee Child ,Action-Adventure,4.17,131734,3683,3,2004-11-05,2004
John Dies at the End ,John Dies at the End,David  Wong ,Action-Adventure,3.88,74402,7509,5,2007-01-01,2007
The Godfather ,The Godfather,Mario Puzo,Action-Adventure,4.39,413551,12390,24,1969-10-03,1969
The Hanged Man ,The Tarot Sequence,K.D. Edwards ,Action-Adventure,4.55,6029,882,2,2019-12-17,2019
Swift Judgment ,Nate Shepherd,Michael  Stagg ,Action-Adventure,4.39,950,15,46,2023-11-22,2023
Kidnapped ,David Balfour,Robert Louis Stevenson,Action-Adventure,3.79,64050,2531,4,1886-01-06,1886
The Back Door Man,-,Dave Buschi ,Action-Adventure,4.14,3101,225,9,2011-09-28,2011
The Death Cure ,The Maze Runner,James Dashner ,Action-Adventure,3.78,439773,26523,7,2011-11-10,2011
Enigma,-,Robert   Harris ,Action-Adventure,3.89,15800,783,4,1995-11-09,1995
Under Enemy Colors ,Charles Hayden,Sean Thomas Russell,Action-Adventure,4.13,2227,189,2,2007-08-31,2007
American Psycho,-,Bret Easton Ellis,Action-Adventure,3.81,306720,18143,20,1991-06-03,1991
Amazonia,-,James Rollins ,Action-Adventure,4.14,33198,1473,45,2002-03-19,2002
The Bone Collector ,Lincoln Rhyme,Jeffery Deaver ,Action-Adventure,4.2,178707,3612,22,1997-03-01,1997
Dragon ,Dirk Pitt,Clive Cussler,Action-Adventure,3.94,14366,389,12,1990-03-05,1990
The Hive,-,Gregg Olsen ,Action-Adventure,3.83,19424,1170,2,2021-08-06,2021
Argo: How the CIA and Hollywood Pulled Off the Most Audacious Rescue in History,-,Antonio J. Méndez,Action-Adventure,3.87,13650,1485,2,2012-09-13,2012
Buried Prey ,Lucas Davenport,John Sandford,Action-Adventure,4.25,37371,1517,4,2011-10-05,2011
Separation of Power ,Mitch Rapp,Vince Flynn,Action-Adventure,4.32,47645,1162,7,2001-01-10,2001
Dislocated ,Mad Mick,Franklin Horton,Action-Adventure,4.54,753,36,44,2023-10-31,2023
The Hostage ,Presidential Agent,W.E.B. Griffin,Action-Adventure,4.1,9491,168,4,2005-01-01,2005
The Adventures of Sherlock Holmes ,Sherlock Holmes,Arthur Conan Doyle,Action-Adventure,4.3,296651,9179,21,1892-01-06,1892
Long Way Home ,Jack McNeal,J.B. Turner ,Action-Adventure,4.23,3551,72,9,2023-02-21,2023
The Last Man ,Mitch Rapp,Vince Flynn,Action-Adventure,4.36,37838,1656,7,2012-11-13,2012
Defending Jacob,-,William Landay ,Action-Adventure,4.0,295774,23393,4,2012-01-31,2012
A Portrait of the Artist as a Young Man,-,James Joyce,Action-Adventure,3.63,149904,7424,2,1916-12-29,1916
Tier One ,Tier One,Brian  Andrews ,Action-Adventure,4.12,13534,754,44,2016-01-09,2016
The Final Oracle,-,Daniel Molitor,Action-Adventure,3.5,4,0,2,2008-12-29,2008
The Puppet Masters,-,Robert A. Heinlein,Action-Adventure,3.89,32711,805,3,1951-01-11,1951
The Last Oracle ,Sigma Force,James Rollins ,Action-Adventure,4.17,33476,1039,20,2008-06-24,2008
The Spy Who Came In from the Cold ,George Smiley,John le Carré,Action-Adventure,4.08,107942,6514,5,1963-01-09,1963
The Shadow in the North,-,Philip Pullman,Action-Adventure,3.86,15585,697,4,1986-01-01,1986
Arctic Storm Rising ,Nick Flynn,Dale Brown ,Action-Adventure,4.3,4865,257,9,2021-05-25,2021
Hell Island ,Shane Schofield,Matthew Reilly,Action-Adventure,3.86,10869,462,2,2005-12-03,2005
[, Maximum Ride: Max )] [by: James Patterson],James Patterson ,Action-Adventure,4.06,73620,2357,3,2009-03-16,2009
None of This Is True,-,Lisa Jewell ,Action-Adventure,4.18,245783,27534,18,2023-07-20,2023
Deep Sleep ,Devin Gray,Steven Konkoly ,Action-Adventure,4.07,11682,570,43,2022-01-02,2022
Disappearance,-,Don  Inman ,Action-Adventure,3.72,18,2,2,2009-12-01,2009
Wait for Me ,Montana Rescue,Susan May Warren ,Action-Adventure,4.4,1872,300,4,2018-01-11,2018
